Cluster,Share of Visitor Days
City Council Districts,72.93%
City,58.64%
External Locations,55.83%
Resorts,19.94%
Harbor,16.97%
Beaches,11.11%
Trails & Parks,9.92%
Hotels,8.76%
Lantern District,5.24%
Monarch Beach Golf Links,3.94%
