Zip Code,Spend Share
91104,0.0008018078021218694
94510,0.0005813276383138253
78217,0.00005763346918265293
91350,0.0014518569117552014
75002,0.0005162635666214045
89104,0.00023573544166334686
85283,0.00012587256479610376
94066,0.000239825165501203
95020,0.00030600767456910973
97219,0.00018112016506083265
92371,0.0015269757954722762
85262,0.001798384349201153
90077,0.0005450823514187646
94087,0.00046644527205001404
96001,0.0007578508038170882
85268,0.0006562921593840891
89031,0.0006925471717161202
92270,0.0062116624985917865
91364,0.0006599042779860182
83669,0.0004859360626919707
55410,0.0001692045616632513
89130,0.0007483719540026103
95014,0.0002723570302854875
92345,0.0028290057143402257
92111,0.0005467195049691258
95603,0.00008590183267769508
85388,0.00038008532625896023
90043,0.00018462268781888915
78660,0.00040924784898799585
85382,0.00024293465188497432
90049,0.011608164978492978
93309,0.000437126667613127
18940,0.0002067227142434171
89166,0.0006682539464086301
80003,0.00016190985353042997
55446,0.00040904006983165316
53092,0.00007873108388249729
79424,0.00005507797133104911
77007,0.0008625763939540625
94131,0.003011241230619288
93101,0.00035465215325629096
78114,0.000040372464263162534
90015,0.00042251328509556316
86314,0.00022938480191510302
85054,0.0009596418116911996
91207,0.0007272610918803823
99507,0.00007339941392177882
95076,0.0012607198145018555
93722,0.0006153633456014838
74012,0.00006018026438867971
94546,0.00021102946919847632
91901,0.000661366562241308
91306,0.0024037704711780583
78015,0.00004047318485821033
29464,0.00011269779457972338
92405,0.00024260504050075418
85742,0.00042159957885035907
95661,0.0026297980134686446
85234,0.0005949368553691079
92173,0.0007136956010654291
80108,0.0016883441866007353
89511,0.003106178876732668
85748,0.00006165287604667178
93449,0.0016166794088407755
91978,0.000353824814161217
94043,0.0004404260162544803
80210,0.0001636715040241199
89121,0.00018163206371487383
78744,0.00003990841994681009
93312,0.0021137013199057104
85013,0.0001406414926095338
96706,0.00019077666399828212
57110,0.0002924575853979918
95618,0.000528760922969378
89014,0.0004980863807904044
97062,0.0005984365561002623
94925,0.0003132295307513931
85298,0.0017119515439776448
37601,0.00016132461885734353
54956,0.000027325427909051258
83646,0.0011416120009562906
94501,0.001046711993899682
02038,0.0001742191442468017
90232,0.001200888013584593
85027,0.003387197212382995
95472,0.00029905612085378457
96732,0.00009213254734828004
90066,0.002579387743422849
91020,0.0003425139607335697
80439,0.0009650828250833726
97202,0.001246810772751696
99516,0.000018997617229136028
80026,0.0005577360525250815
84108,0.0004727613673736991
95834,0.00038522410453802324
84102,0.001831574460004109
92203,0.0025536688438977
91910,0.0011920874435202517
80550,0.0002970814200585116
89149,0.0023497265619037287
85310,0.0010120014166052453
94703,0.00012689739691517415
96815,0.0002724708720206368
53202,0.00004959200303966199
94947,0.00007067587758698656
80113,0.0005097542253351264
94114,0.0008372764177368917
81301,0.00029109707600247014
78613,0.00015483736366175897
80465,0.00038460149814762833
85225,0.0002481079685439125
87123,0.00032925188732375134
84037,0.0005150406736452427
94015,0.0004053016344557547
75071,0.00013300547045585928
95207,0.0003382294349240474
91401,0.0011558866919423496
98012,0.0004902489215108826
85658,0.0014577703088229346
94563,0.004820773602880189
96821,0.00037991406301481165
84721,0.00028545317412154197
94582,0.001875921024611646
92308,0.0024994936672657585
80127,0.00036330574521105375
84009,0.0008958519069010909
97034,0.0024082458340715213
94608,0.00005011553179311189
91042,0.00037823778247961617
86305,0.0008421426046864164
90004,0.0015792092869097996
93110,0.0006769762705816672
89048,0.0002428658596391011
94602,0.00037742536170687807
84003,0.000539770256375946
94588,0.0007605436311378008
55331,0.00036128971545562887
91367,0.002989824716217787
89139,0.0016494609627320813
17055,0.000015340057570559528
51041,0.0001484718503402705
20016,0.0015892332999993509
75035,0.0003146594445021404
90403,0.0017139504685618153
95128,0.0005499307125182279
96714,0.00005603266143817983
85255,0.0037547779314039457
84047,0.0003234176715068198
92346,0.0024855544125025166
93422,0.0002331212814290581
95376,0.00017282242935162776
85381,0.00020318409461345493
92118,0.008122890321166525
57108,0.00018640500253587624
84098,0.0015188047145437713
92399,0.004133783284376933
94513,0.0014911555495042209
91107,0.001772399528532861
95023,0.00017554298864735923
94065,0.00021199172175373436
89107,0.0005456575802539247
92019,0.0026631404619047758
84664,0.0001291748441044789
84092,0.000862614129222722
96720,0.0000919142647640865
53018,0.00046457390139105454
92126,0.0008498839727526541
92372,0.00017734397607661051
94903,0.00041250305962887475
95945,0.00020486103991568364
96797,0.00007354351721246635
96161,0.00004240528907150218
99504,0.00004760946720011191
85308,0.0004265302780186425
95757,0.0006540360098263706
93003,0.0022132015973587676
91902,0.00036091583957730195
92211,0.00219901301368791
90028,0.0029029385031562145
29486,0.00005917544054942664
53210,0.0001596605660913148
30062,0.00044964642198427006
98101,0.0002518188601659687
84025,0.000875031873552849
95662,0.00012489638245224874
11221,0.0006676300538650234
84606,0.0002754258907445271
83340,0.0009278352776220991
92071,0.00047486132575841827
91331,0.0007648118909590121
95818,0.00034880591576207424
84124,0.0004587776269445531
93108,0.001155438337086721
85209,0.0000810368923247154
23235,0.00022473219441014375
87105,0.00006434767783215932
91204,0.00017169047213471672
90016,0.00026595472883701043
94610,0.000622827519110493
23451,0.000708728839838925
91945,0.00036372944807663897
86005,0.0007927892498096289
89460,0.0008699188487835829
91342,0.0010277614768020458
85345,0.00003920949600011263
95032,0.004794312151054262
75244,0.0031321390598837164
55436,0.00019634791865873373
90065,0.002669086588459359
84062,0.0010489749419881947
85024,0.0005512244661166877
92262,0.004198860495222356
80219,0.00009765795799437505
89122,0.0007849962044879071
99577,0.0001460106317980771
94040,0.00010779658457849845
75024,0.0020000376573869696
92103,0.002068196591187502
94403,0.0020301039995671817
93311,0.00199319560187729
83835,0.0002230935561620278
92109,0.012310669826380448
80921,0.0018578363163373958
91402,0.00036737994268757967
93550,0.0006087351735976532
95204,0.0002176472754169888
93704,0.00014098542533997068
95050,0.0001542354556134884
92234,0.0015207911658998592
91320,0.0023038603061173862
94123,0.0008269455984783314
80124,0.0014969447262324555
93465,0.0001887042489601399
96822,0.00011905018585303756
92301,0.00032998140116803144
93940,0.0013421049463991292
87114,0.00007542712036429891
75093,0.000576117953224764
85212,0.0006809136782160686
98370,0.00023343321271929513
90007,0.0006984724250873938
96753,0.0002022784199904487
91436,0.002218993224418935
78259,0.00008524328462790432
99515,0.00004598229662329592
96786,0.00007627587083733277
80487,0.00019616680625296113
94022,0.0004181350043263702
93730,0.000530657621562663
95746,0.004030705131224843
93012,0.002603190152083066
91913,0.0012486077013991882
89436,0.0005407224236159656
78253,0.000023989563743494456
94117,0.000412472057069802
90039,0.002796096090248221
85750,0.0007365515565702383
89509,0.0002309903660759043
96816,0.0021917900628994954
